obj,cat
1,container
2,container
3,bottle
4,bottle
5,bottle
6,container
7,jar
8,bottle
9,container
10,jar
11,jar
12,jar
13,jar
14,jar
15,jar
16,container
17,jar
18,jar
19,jar
20,tube
21,bottle
22,container
23,can
24,can
25,container
26,can
27,jar
28,bottle
29,jar
30,jar
31,jar
32,box
33,bottle
34,jar
35,container
36,jar
37,jar
38,jar
39,container
40,bottle
41,bottle
42,bottle
43,jug
44,jar
45,container
46,can
47,can
48,container
49,bottle
50,bottle
51,bottle
52,container
53,container
54,jug
55,bottle
56,bottle
57,bottle
58,container
59,container
60,jug
